,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
2380585,yUFJs,6k1/pp4r1/2b5/1P1pKp2/8/6R1/P5P1/8 w - - 0 31,g3g7 g8g7 b5c6 b7c6,578,98,50,91,crushing endgame short,https://lichess.org/5ssfDgGw#61
958507,OLGet,8/1p3qkp/p4np1/8/3Q4/1PN4P/P5P1/6K1 w - - 2 34,c3d5 f7d5 d4d5 f6d5,580,131,-11,20,crushing endgame short,https://lichess.org/8hk3NXJq#67
812569,KcmCw,1k1r4/ppp3pp/8/8/4r3/8/PPP2PPP/1K2R3 w - - 0 26,e1e4 d8d1,581,113,33,53,backRankMate endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/iUL1lQqL#51
461329,Bi7NB,rn3rk1/ppp2ppp/bn6/8/Q2P4/2N2N2/PP1K1PPP/R7 w - - 3 15,a4a3 b6c4 d2c2 c4a3,582,134,-38,30,crushing fork middlegame short,https://lichess.org/QF4mxgb6#29
188510,4mZM7,r4rk1/p1q2pp1/4p2p/1pb1n3/2p4P/5QB1/P4PP1/1BR2R1K w - - 0 22,g3e5 c7e5,584,125,75,38,advantage middlegame oneMove,https://lichess.org/DaXNpegh#43
2233577,uk0v4,r1bqk2r/ppp2ppp/1b6/3np3/1PP5/PB6/3PNPPP/R1BQK2R b KQkq - 0 11,b6f2 e1f2,584,143,-20,24,advantage hangingPiece oneMove opening,https://lichess.org/KnoGI8bg/black#22
1352595,YMn6u,5N2/6k1/p7/1p1nP2p/2p4P/8/8/3K1R2 w - - 1 56,e5e6 d5e3 d1e2 e3f1,585,195,43,20,crushing endgame fork short,https://lichess.org/PVyzeeb3#111
77911,1yW1t,8/1p3k2/p1p4p/8/1PP5/3N3P/PK6/5r2 b - - 3 39,f1f3 d3e5 f7f6 e5f3,585,116,50,59,crushing endgame fork short,https://lichess.org/0jwtUIzJ/black#78
840573,LLIY1,r2qkb1r/ppp2ppp/2n1p3/5b2/2B5/2Q2N2/PPPP1PPP/R1B1K2R w KQkq - 0 8,d2d3 f8b4 e1g1 b4c3,585,326,-100,4,crushing opening pin short,https://lichess.org/yWQTXPox#15
1016386,PoaC4,8/5kp1/3p3p/3P4/5P2/7P/r2Rp1P1/4K3 b - - 1 45,a2d2 e1d2 e2e1r d2e1,586,137,16,24,crushing endgame short,https://lichess.org/Qe5piWr4/black#90
887486,MX9Gg,3R4/4kp2/4p3/6p1/2n3P1/5P2/3pK3/8 w - - 4 55,d8d2 c4d2,586,127,-43,34,crushing endgame oneMove,https://lichess.org/Rt2Q5Rh8#109
2210932,uAITR,2k4r/1ppr2pp/p2b4/4R3/5B1P/8/PPP2PP1/R5K1 w - - 1 21,e5d5 d6f4 d5d7 c8d7,587,312,-60,3,advantage endgame hangingPiece short,https://lichess.org/FVHICfSm#41
780631,Jo92W,1k4r1/ppp2Q1p/8/8/5p2/1B3P2/PP4rP/5RqK w - - 1 27,f1g1 g2g1,587,116,43,117,endgame mate mateIn1 oneMove,https://lichess.org/YRI94g61#53
980371,OtlSM,1r6/1r2b2p/1P3kp1/1R3p2/2p2P2/7P/6P1/1R3NK1 b - - 2 32,b7b6 b5b6 b8b6 b1b6,587,111,14,39,crushing endgame master short,https://lichess.org/X6hpXfMb/black#64
1277730,WSadj,5r2/1k1b3p/p3prp1/1p1p4/1QP3B1/3R4/P5PP/1R3q1K w - - 2 32,b1f1 f6f1,588,112,24,70,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/RvvBMogR#63
1128639,Sfo5l,r4k2/1p3p2/8/8/1R1Pp1p1/2R1P1Pp/2N2P1P/r5K1 w - - 1 36,c2a1 a8a1 b4b1 a1b1 c3c1 b1c1,588,103,33,74,endgame long mate mateIn3,https://lichess.org/OUTJVIVB#71
113472,2sm7k,5rk1/1p3rpn/p1p4p/2PpR3/3P4/P1NQ4/1P4PP/4Rq1K w - - 6 24,e1f1 f7f1 d3f1 f8f1,588,124,0,22,backRankMate mate mateIn2 middlegame short,https://lichess.org/gS3MCiF2#47
1982,03Ap5,7k/6p1/p2b3p/2pPp2q/2P5/4BQP1/P5KP/8 b - - 1 32,h5f3 g2f3,590,110,28,105,crushing endgame oneMove,https://lichess.org/qsBSxSaN/black#64
1391000,ZL8jw,r5r1/pqk2p1p/1pp2Q2/8/3P4/8/5PPP/2R2RK1 b - - 0 24,g8g2 g1g2,591,146,33,39,crushing endgame hangingPiece oneMove,https://lichess.org/9Dce5smi/black#48
564695,EKgle,3q2k1/5rpp/3b4/p2Q4/Pp1B1P2/8/3r1PPP/R1R3K1 b - - 0 24,d2d4 d5d4,591,182,-33,6,advantage hangingPiece middlegame oneMove,https://lichess.org/qIFiSlbA/black#48
454040,BWM5n,2kr2r1/1ppqbp2/p1np3p/8/3PP3/P1P2N2/1P2N1P1/R3QRK1 b - - 2 19,g8g2 g1g2,591,119,33,69,advantage hangingPiece middlegame oneMove,https://lichess.org/VJshWw9R/black#38
197951,51mc7,r1k5/p5pp/2p5/2B5/2Pp4/1Q1P4/PP3RPP/RN2q2K w - - 1 26,f2f1 e1f1,591,128,-43,27,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/mA1gYEnu#51
2284470,w2Ish,4rQ1k/p5pp/8/1pp5/4q3/2P2RP1/PP3P1P/6K1 b - - 2 26,e8f8 f3f8,591,126,50,62,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/Z80ct7um/black#52
1372366,Ys4bS,6k1/6pp/p1qn2p1/2P1p3/1P1p2P1/P2B1Q1P/6K1/8 b - - 0 33,c6f3 g2f3 e5e4 d3e4,592,105,8,44,crushing endgame short,https://lichess.org/QbaeMo5r/black#66
1808199,jvf6R,3br1r1/pp1b1q1k/2p3p1/3pBp1p/3P1P2/P1PQ3R/1P5R/3B2K1 b - - 2 33,h5h4 h3h4 d8h4 h2h4,592,122,54,39,mate mateIn2 middlegame short,https://lichess.org/b4fCjP09/black#66
156879,3yyaY,1rR1k2r/5pp1/1p2p2p/1b1pP3/1n1P4/4PN2/P5PP/2R3K1 b k - 1 25,b8c8 c1c8 e8e7 c8h8,592,153,0,22,advantage endgame short skewer,https://lichess.org/mUiqRRS7/black#50
312950,7xNSh,r2Q2k1/5ppp/p3p1q1/8/8/P4N1P/1n3PP1/3R2K1 b - - 1 27,a8d8 d1d8,592,115,43,55,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/k2s7zSpm/black#54
124993,3AuuY,8/8/2k3p1/1p1n1p1p/1P2pP1P/P5P1/4K3/3N4 b - - 3 46,d5c3 d1c3,593,137,0,27,crushing endgame hangingPiece knightEndgame oneMove,https://lichess.org/eyc9Zv3u/black#92
356823,93vl3,4r1k1/p3qppp/8/4P3/4Q3/1P5P/P7/4R2K b - - 2 32,e7e5 e4e5 e8e5 e1e5,593,130,41,31,crushing endgame short,https://lichess.org/RKbHiyea/black#64
1273415,WLww9,6k1/5pp1/2P4p/2q5/1r6/8/5PPP/2R3K1 w - - 0 35,c1c5 b4b1 c5c1 b1c1,593,107,44,46,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/xneRyuo3#69
764730,JPCA8,2k5/8/8/1pr5/1n1R4/6Pp/5P1P/6K1 w - - 0 38,d4b4 c5c1,594,164,25,16,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/WnCclrtE#75
1230816,VGgtJ,8/p5k1/6pp/5p2/3R1b2/2n2P1P/P3B1P1/6K1 w - - 0 33,d4f4 c3e2 g1h2 e2f4,594,121,37,43,crushing endgame fork hangingPiece short,https://lichess.org/KcWvRQFg#65
